Code,Name,EventDate,Detected,FirstFlagDate,LeadDaysApprox
066430,와이오엠,2024-03-22,True,2024-03-05,13.0
219750,지티지웰니스,2022-01-03,False,,
069330,유아이디,2022-01-03,False,,
299910,베스파,2022-01-03,False,,
002680,한탑,2022-01-03,False,,
002680,한탑,2024-04-01,True,2024-03-20,8.0
286750,나노실리칸첨단소재,2026-03-24,True,2026-03-04,14.0
073190,듀오백,2026-03-18,True,2026-02-26,13.0
026910,광진실업,2026-04-13,True,2026-03-24,14.0
054410,케이피티유,2025-04-01,False,,
214310,에스엘바이오닉스,2022-03-31,True,2022-03-29,2.0
182690,테라셈,2022-01-03,False,,
044180,KD,2023-03-24,True,2023-02-28,17.0
044180,KD,2026-03-06,True,2026-02-04,18.0
058530,파나케이아,2022-01-03,False,,
114120,크루셜텍,2022-01-03,False,,
064510,에코마이스터,2022-01-03,False,,
101670,하이드로리튬,2024-11-27,True,2024-11-04,17.0
052190,세영디앤씨,2022-01-03,False,,
009730,코센,2022-01-03,False,,
009730,이렘,2026-04-07,True,2026-04-03,2.0
208860,엔지스테크널러지,2022-01-03,False,,
091440,한울소재과학,2025-03-24,True,2025-02-24,19.0
127160,매직마이크로,2022-01-03,False,,
161570,THE MIDONG,2024-01-30,False,,
064090,에프앤리퍼블릭,2022-01-03,False,,
064090,에프앤리퍼블릭,2023-03-24,True,2023-02-24,19.0
064090,인크레더블버즈,2026-03-27,False,,
078650,지나인제약,2022-01-03,False,,
058450,일야,2022-01-03,False,,
058450,한주에이알티,2025-03-21,False,,
053660,현진소재,2022-01-03,False,,
377630,삼성스팩4호,2023-11-14,True,2023-10-18,19.0
053110,소리바다,2022-01-03,False,,
141020,포티스,2022-01-03,False,,
103230,에스앤더블류,2022-01-03,False,,
038340,UCI,2022-01-03,False,,
380320,삼성머스트스팩5호,2023-12-11,True,2023-12-04,5.0
323940,케이비제18호스팩,2022-01-03,False,,
393360,신한제8호스팩,2024-03-18,False,,
050540,한국코퍼레이션,2022-01-03,False,,
033790,스카이문스테크놀로지,2022-01-03,False,,
367340,DB금융스팩8호,2023-06-05,True,2023-05-26,5.0
101680,한국정밀기계,2022-01-03,False,,
340350,SK6호스팩,2022-09-05,True,2022-08-18,12.0
340120,하이제5호스팩,2022-06-16,False,,
351340,IBKS제13호스팩,2023-01-09,False,,
388800,유진스팩7호,2024-05-20,False,,
400840,하이제7호스팩,2024-06-14,True,2024-06-04,7.0
058220,아리온,2022-01-03,False,,
353060,에이치엠씨제5호스팩,2023-08-11,False,,
353490,미래에셋대우스팩 5호,2023-04-03,False,,
386580,한화플러스제2호스팩,2024-05-02,False,,
332710,하나금융14호스팩,2022-08-12,False,,
353070,에이치엠씨제4호스팩,2023-01-25,True,2023-01-16,5.0
08537M,루트로닉3우C,2022-01-03,False,,
08537M,루트로닉3우C,2023-10-16,True,2023-10-04,7.0
330990,케이비제19호스팩,2022-03-24,True,2022-03-21,3.0
343510,하나금융16호스팩,2023-01-17,True,2022-12-23,16.0
373200,엑스플러스,2024-08-16,True,2024-08-05,8.0
329560,상상인이안제2호스팩,2022-02-23,True,2022-02-15,6.0
058420,제이웨이,2022-01-03,False,,
349720,이베스트스팩5호,2022-11-14,False,,
323280,신영스팩5호,2022-01-03,False,,
121890,에스디시스템,2022-01-03,False,,
114570,지스마트글로벌,2022-01-03,False,,
373340,유진스팩6호,2023-10-31,False,,
323210,이베스트이안스팩1호,2022-01-05,False,,
347140,케이프이에스제4호,2022-09-19,True,2022-09-08,5.0
221610,자안바이오,2022-01-03,False,,
276040,스코넥,2026-04-08,True,2026-03-31,6.0
415580,상상인제3호스팩,2024-10-22,True,2024-10-15,5.0
377460,위니아에이드,2023-10-27,True,2023-09-22,20.0
424140,케이비제21호스팩,2024-12-17,True,2024-11-21,18.0
422040,엔에이치스팩23호,2024-12-23,True,2024-12-09,10.0
425290,삼성스팩6호,2024-12-24,True,2024-12-09,11.0
396270,넥스트칩,2025-08-18,True,2025-07-30,12.0
418210,신한제10호스팩,2025-02-25,False,,
430700,유안타제9호스팩,2025-02-03,False,,
435380,유안타제10호스팩,2025-03-28,True,2025-03-21,5.0
435870,에스케이증권제8호스팩,2025-03-31,True,2025-03-04,19.0
435620,하나금융25호스팩,2025-04-14,True,2025-03-18,19.0
437780,엔에이치스팩24호,2025-04-14,True,2025-04-07,5.0
405000,플라즈맵,2024-08-16,True,2024-07-19,19.0
439250,삼성스팩7호,2025-04-21,True,2025-04-07,10.0
439730,IBKS제20호스팩,2025-04-21,True,2025-04-02,13.0
440790,교보13호스팩,2025-05-30,False,,
438580,엔에이치스팩25호,2025-04-28,True,2025-04-21,5.0
439410,엔에이치스팩26호,2025-05-26,True,2025-04-24,19.0
442130,유진스팩9호,2025-05-26,False,,
442310,대신밸런스제14호스팩,2025-05-29,True,2025-05-20,7.0
440820,엔에이치스팩27호,2025-06-09,True,2025-05-21,11.0
445360,비엔케이제1호스팩,2025-06-16,True,2025-06-13,1.0
445970,신영스팩9호,2025-06-20,True,2025-05-23,18.0
380540,옵티코어,2026-03-24,True,2026-03-12,8.0
417860,오브젠,2025-08-18,False,,
449020,유안타제13호스팩,2025-08-21,True,2025-08-13,5.0
448740,삼성스팩8호,2025-08-25,True,2025-08-01,15.0
446750,하나26호스팩,2025-08-27,True,2025-08-06,14.0
442900,미래에셋드림스팩1호,2025-09-09,True,2025-09-03,4.0
446150,유안타제12호스팩,2025-12-16,False,,
448370,하나27호스팩,2025-10-01,True,2025-09-24,5.0
448760,IBKS제22호스팩,2023-05-16,False,,
304360,에스바이오메딕스,2024-08-19,False,,
348080,큐라티스,2024-08-16,False,,
450050,하이제8호스팩,2025-12-17,True,2025-11-21,18.0
455250,KB제25호스팩,2025-12-16,True,2025-12-10,4.0
454640,하나29호스팩,2025-12-23,True,2025-12-02,15.0
456490,교보14호스팩,2025-12-29,True,2025-12-02,18.0
455910,에스케이증권제9호스팩,2026-01-14,False,,
450940,유안타제14호스팩,2026-01-20,True,2025-12-22,18.0
457940,에스케이증권제10호스팩,2026-02-04,True,2026-01-26,7.0
418250,시큐레터,2024-04-08,True,2024-03-26,9.0
458610,한국제12호스팩,2026-02-24,True,2026-02-10,7.0
444920,유안타제11호스팩,2026-02-25,True,2026-01-30,15.0
457630,대신밸런스제16호스팩,2026-03-03,True,2026-02-05,14.0
455310,한화플러스제4호스팩,2026-03-03,True,2026-01-28,20.0
452670,상상인제4호스팩,2026-03-09,True,2026-02-04,19.0
452980,신한제11호스팩,2026-03-23,True,2026-03-03,14.0
462020,에이치엠씨제6호스팩,2026-04-06,True,2026-03-16,15.0
188260,세니젠,2026-03-10,True,2026-02-13,13.0
464680,KB제27호스팩,2026-04-27,True,2026-04-24,1.0
464440,한국제13호스팩,2026-05-06,True,2026-04-28,4.0
469880,하나30호스팩,2026-06-18,True,2026-06-01,12.0
467930,IBKS제23호스팩,2026-06-15,True,2026-05-21,15.0
412540,제일엠앤에스,2025-04-07,True,2025-03-14,16.0
160190,하이젠알앤엠,2026-03-23,True,2026-03-04,13.0
393970,대진첨단소재,2026-04-08,False,,
309710,아이티켐,2026-04-07,True,2026-03-10,20.0
